,abr,issn
172,jhighenergyphys,10298479
173,physrevd62(2000),"24699934, 24699926"
174,theormathphys,"15739333, 00405779"
175,ukrjphys,"20710186, 20710194"
176,scichina,"1674733X, 18691919"
177,condensedmatterphys,"09538984, 1361648X"
178,commentmathunivcarolinae,"00102628, 12137243"
179,siamjapplmath,"00361399, 1095712X"
180,ukrphysj,"20710186, 20710194"
181,newjphys,"13672630, 13672630"
182,physpartnucl,"10637796, 15318559"
183,journalofphysicsa:math&gen,"17518113, 17518121"
184,philmag,"14786443, 14786435"
185,memoirsoftheam,00659266
186,intjmathmathsci,"16870425, 01611712"
187,entropy,10994300
188,jcomputphys,"10902716, 00219991"
189,expermath,"10586458, 1944950X"
190,communmathscienc,15396746
191,actaphysicaslovaca,03230465
192,studiesinhistoryandphilosophyofmodernphysics,"13552198, 18792502"
193,chinphys,16741056
194,eur,"15213765, 09476539"
195,intjmath,0129167X
196,eurphysjdirect,"1434601X, 14346001"
197,actaphysicaslovaca52,0323-0465
198,znaturforsch,"09320784, 18657109"
199,chinphyslett,"17413540, 0256307X"
200,fizikab,13300016
201,jmathsciuniv,13405705
202,mathphysanalgeom,"13850172, 15729656"
203,jphysa,"17518113, 17518121"
204,differgeomappl,"18726984, 09262245"
205,journalofgeometryandphysics,03930440
206,nuclphysb,05503213
207,modphysletta,"02177323, 17936632"
208,zhfizkhim,"00360244, 1531863X"
209,jphysa:math,"17518113, 17518121"
210,intjournmodphys,"0217751X, 1793656X"
211,brazilianjournalphysics,01039733
212,jphysa:mathgen,"17518113, 17518121"
213,jphysg:nuclpartphys,"13616471, 09543899"
214,uspfiznauk,03011798
215,modphyslett,"02177323, 17936632"
216,commmathphys235,"14320916, 00103616"
217,eurphysjc,"14346052, 14346044"
